x,y,z
-0.6746165752410889,-0.016837134957313538,0.004131317138671875
5.552675247192383,-0.6778449416160583,0.0065288543701171875
8.126076698303223,3.784320831298828,0.002239227294921875
8.496369361877441,8.32787036895752,0.003841400146484375
7.679121017456055,10.937383651733398,0.001300811767578125
5.772225379943848,10.545563697814941,0.003509521484375
5.7641096115112305,8.03701114654541,0.004169464111328125
3.7269086837768555,5.1582722663879395,0.0045680999755859375
0.6294536590576172,4.482905864715576,0.00323486328125
-1.308614730834961,2.5974342823028564,0.0023288726806640625
